,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
8374,628,Spain,Female,55,7,0.0,3,1,0,85890.75,1,1,3,DIAMOND,791
6935,670,France,Male,33,1,0.0,2,1,1,86413.11,0,0,3,DIAMOND,898
5103,783,Germany,Female,58,3,127539.3,1,1,1,96590.39,1,1,5,SILVER,270
8963,741,France,Male,52,1,171236.3,2,0,0,21834.4,1,1,5,PLATINUM,332
4993,554,France,Female,44,6,92436.86,1,1,0,126033.9,0,0,4,GOLD,938
9069,619,Spain,Female,32,4,175406.13,2,1,1,172792.43,1,1,1,DIAMOND,707
3924,653,France,Female,40,0,0.0,2,1,0,35795.85,0,0,5,GOLD,823
399,616,France,Female,66,1,135842.41,1,1,0,183840.51,1,1,2,DIAMOND,302
6863,564,Spain,Female,24,6,149592.14,1,1,1,153771.8,0,0,2,GOLD,301
7440,622,Spain,Female,47,6,142319.03,1,0,0,100183.05,0,0,4,DIAMOND,578
9534,773,Spain,Male,52,2,0.0,2,1,0,57337.79,0,0,5,PLATINUM,607
5845,530,Germany,Male,33,9,75242.28,1,0,1,101694.67,0,0,4,SILVER,273
3293,751,France,Female,39,3,0.0,2,1,1,84175.34,0,0,4,DIAMOND,254
7005,751,France,Male,43,1,114974.24,1,1,0,125920.54,0,0,2,DIAMOND,907
7296,663,Germany,Female,37,8,155303.71,1,1,0,118716.63,0,0,1,SILVER,333
5587,730,France,Female,37,1,0.0,2,1,1,124364.63,0,0,2,SILVER,427
416,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1,1,2,DIAMOND,982
5837,850,France,Female,35,6,81684.97,1,1,0,824.0,0,0,5,SILVER,576
6881,631,Spain,Male,29,3,0.0,2,1,1,197963.46,0,0,3,DIAMOND,463
9965,627,Germany,Female,33,4,83199.05,1,0,0,159334.93,0,0,4,DIAMOND,611
9462,800,Spain,Female,46,6,0.0,2,1,0,171928.04,0,0,2,SILVER,471
8549,731,France,Male,37,8,0.0,2,1,1,170338.35,0,0,1,DIAMOND,856
1642,626,Spain,Male,62,3,0.0,1,1,1,65010.74,0,0,1,PLATINUM,930
1807,818,France,Female,49,2,0.0,1,0,1,192298.84,1,1,4,GOLD,544
1517,744,France,Male,54,6,93806.31,2,0,1,140068.77,0,0,2,PLATINUM,306
3472,594,France,Male,40,9,122417.17,2,0,1,190882.69,0,0,5,SILVER,394
8622,706,Germany,Male,36,9,58571.18,2,1,0,40774.01,0,0,4,PLATINUM,329
7541,723,France,Male,28,4,0.0,2,1,1,123885.88,0,0,5,SILVER,467
3478,537,France,Male,28,3,157842.07,1,1,0,86911.49,0,0,3,GOLD,348
516,468,France,Female,56,10,0.0,3,0,1,62256.87,1,1,3,PLATINUM,547
1042,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1,1,1,SILVER,309
9323,644,France,Male,50,9,76817.0,4,1,0,196371.13,1,1,4,PLATINUM,381
1002,725,Germany,Male,39,1,50880.98,2,1,1,184023.54,0,0,4,GOLD,644
2127,710,Germany,Male,34,9,134260.36,2,1,0,147074.67,0,0,5,GOLD,257
4285,623,France,Male,40,5,118788.57,1,1,0,192867.4,0,0,3,SILVER,731
1229,575,Spain,Female,31,6,0.0,2,1,1,95686.42,0,0,4,SILVER,609
5035,657,Spain,Male,34,5,154983.98,1,1,0,27738.01,0,0,2,PLATINUM,762
4144,655,France,Male,44,8,87471.63,1,0,1,188593.98,0,0,4,SILVER,712
7307,850,France,Male,28,8,67639.56,2,1,1,194245.29,0,0,5,GOLD,990
4096,820,Spain,Male,34,10,97208.46,1,1,1,59553.34,0,0,2,GOLD,827
5947,656,France,Female,45,7,145933.27,1,1,1,199392.14,0,0,1,PLATINUM,409
4873,581,France,Male,37,7,0.0,2,1,1,74320.75,0,0,1,SILVER,754
9865,591,France,Male,49,3,0.0,2,1,0,50123.44,0,0,2,GOLD,560
